Jaccard_PRF,TFIDF_PRF,,,,
0.371428571,0.04385718,0.073874533,0.342857143,0.046668972,0.074870204
0.271428571,0.05686299,0.086307787,0.3,0.092971815,0.112514137
0.219047619,0.06686299,0.093616318,0.295238095,0.128018441,0.144598352
0.185714286,0.07454493,0.096250043,0.25,0.139441878,0.14500598
0.16,0.076671315,0.092659732,0.222857143,0.148484363,0.144549833
0.152380952,0.08422957,0.096934762,0.214285714,0.163530989,0.151726376
0.146938776,0.102677557,0.103401327,0.212244898,0.182925978,0.162899134
0.132142857,0.103919793,0.099350687,0.207142857,0.200573238,0.16904002
0.123809524,0.107661289,0.098738877,0.2,0.206966785,0.168257058
0.117142857,0.112962278,0.098379105,0.188571429,0.209847005,0.163759094
0.116883117,0.118223451,0.100417971,0.187012987,0.227487922,0.169677893
0.114285714,0.135792217,0.104004378,0.178571429,0.234166957,0.168866369
0.114285714,0.183071129,0.111964396,0.175824176,0.240788674,0.16952432
0.112244898,0.188394997,0.112962834,0.171428571,0.246198112,0.168937932
0.116190476,0.202456259,0.119803055,0.163809524,0.249118148,0.165477553
0.1125,0.207094478,0.119382649,0.155357143,0.250360384,0.160945875
0.107563025,0.208336714,0.116576033,0.149579832,0.2549811,0.158561745
0.101587302,0.208336714,0.112617803,0.146031746,0.259363054,0.157753589
0.097744361,0.20957895,0.110298507,0.144360902,0.267158736,0.159222064
0.097142857,0.213746152,0.110802729,0.141428571,0.270527357,0.157946857
0.092517007,0.213746152,0.107466931,0.136054422,0.27290831,0.155018483
0.092207792,0.220634442,0.108569498,0.133766234,0.281202495,0.155056837
0.089440994,0.223491585,0.10724462,0.130434783,0.284485548,0.15354798
0.085714286,0.223491585,0.104314208,0.128571429,0.288652749,0.153036564
0.083428571,0.225872537,0.103092516,0.128,0.302752128,0.155548702
0.083516484,0.230372799,0.104179385,0.125274725,0.312548046,0.155180195
0.081481481,0.2314717,0.10266025,0.125925926,0.348370781,0.158645359
0.079591837,0.232337501,0.101112039,0.123469388,0.350270409,0.156674501
0.079802956,0.237764441,0.102478034,0.120197044,0.350809493,0.153687001
0.08,0.246625724,0.104227974,0.116190476,0.350809493,0.150171194
0.079262673,0.249908777,0.10422346,0.112442396,0.350809493,0.146819665
0.076785714,0.249908777,0.101950246,0.109821429,0.351348576,0.144293054
0.076190476,0.252035162,0.101562671,0.106493506,0.351348576,0.141228476
0.075630252,0.253673147,0.1010642,0.104201681,0.353729529,0.139538877
0.075102041,0.256809633,0.10091388,0.102040816,0.355090073,0.137725056
0.073015873,0.256809633,0.098922095,0.100793651,0.358373125,0.137101501
0.072586873,0.25870926,0.098630359,0.098069498,0.358373125,0.134438498
0.072180451,0.292042594,0.099533768,0.096992481,0.360953025,0.133607464
0.071062271,0.293141495,0.098558218,0.095238095,0.363550428,0.132263737
0.071428571,0.298810429,0.099862074,0.093571429,0.365591244,0.130906938
0.069686411,0.298810429,0.098075728,0.092682927,0.396543625,0.131000898
0.069387755,0.304671235,0.098384994,0.09047619,0.396543625,0.128689707
0.068438538,0.305537036,0.097440102,0.089700997,0.398508327,0.128041213
0.066883117,0.305537036,0.095792845,0.087662338,0.398508327,0.125869285
0.065396825,0.305537036,0.094201991,0.086349206,0.400095628,0.124679026
0.064596273,0.306402837,0.093387951,0.086335404,0.405956434,0.125363803
0.063829787,0.307990138,0.092771436,0.085714286,0.411625369,0.125284873
0.063095238,0.309232374,0.092115774,0.083928571,0.411625369,0.123301645
0.062973761,0.310637259,0.091947688,0.083381924,0.414761855,0.122894472
0.064,0.321652533,0.0940332,0.082285714,0.416004091,0.121796813